,Unnamed: 0,datetime,close,RSI,RSI_SMA,Signal,ltp
9567,9567,2024-07-30 13:15:00,24929.15,78.56,83.025,Sell,277.6
9607,9607,2024-08-06 08:15:00,24189.85,22.18,11.87857142857143,Buy,271.4
9668,9668,2024-08-14 15:15:00,24150.65,30.1,28.077142857142857,Buy,269.4
9684,9684,2024-08-19 14:15:00,24571.45,70.44,73.50357142857145,Sell,274.42
9689,9689,2024-08-20 10:15:00,24707.5,76.27,77.91142857142857,Sell,275.8
9737,9737,2024-08-27 13:15:00,25052.65,76.95,78.45785714285715,Sell,279.11
9902,9902,2024-09-23 15:15:00,25933.55,71.9,77.2792857142857,Sell,289.6
9907,9907,2024-09-24 11:15:00,25921.55,68.54,77.63642857142858,Sell,289.36
9929,9929,2024-09-27 14:15:00,26195.15,68.95,74.91642857142857,Sell,292.06
9944,9944,2024-10-01 11:15:00,25822.95,22.15,19.895714285714284,Buy,287.52
9961,9961,2024-10-04 10:15:00,25332.6,27.03,24.438571428571432,Buy,281.55
10044,10044,2024-10-18 11:15:00,24785.5,26.27,21.005714285714284,Buy,276.17
10076,10076,2024-10-23 16:15:00,24436.0,34.56,30.79142857142857,Buy,273.29
10093,10093,2024-10-25 15:15:00,24219.15,31.64,27.99714285714285,Buy,271.87
10142,10142,2024-11-04 11:15:00,23923.65,32.34,32.33642857142858,Buy,266.67
10204,10204,2024-11-14 09:15:00,23616.9,23.95,16.987857142857145,Buy,264.46
10254,10254,2024-11-25 14:15:00,24222.25,78.7,80.26499999999999,Sell,270.23
10304,10304,2024-12-04 09:15:00,24542.85,85.79,85.98642857142856,Sell,273.2
